username;view_count;like_count;comment_count;save_count;engagement_rate_influencer
ladyyasmina1;64893600.0;12515200.0;123272.0;693963.0;42.624207142857145
lamvlog;9513300.0;617300.0;4586.0;18744.0;19.727304819277105
lana_mohd89;30900000.0;1158600.0;16446.0;79558.0;34.998262608695654
lance210;557300000.0;27040400.0;229861.0;929800.0;298.8379338095238
landonbarkerr;20700000.0;1808800.0;5722.0;46084.0;39.00539645833334
larissagloor;6683300.0;1232129.0;13234.0;37930.0;40.8537856
lasrecetasdesimon;151793400.0;14610200.0;33282.0;2013600.0;67.46216620689655
lauralove5514;751500.0;144700.0;1054.0;3517.0;29.120018684210525
leahh;1899300.0;208900.0;4177.0;12309.0;29.142982166666666
leanadeeb;2393500.0;262300.0;4076.0;8948.0;24.343822105263158
lechilinh88;3123400.0;156451.0;0.0;4345.0;41.346536475409835
lee.cuong;4785400.0;99900.0;978.0;5964.0;19.269246363636363
leesiyoung38;3875900.0;331000.0;2007.0;9529.0;24.817039636363635
leigh_mcnasty;42501200.0;6776100.0;33619.0;429524.0;31.2123175
leleburnier;5657600.0;993200.0;6284.0;16844.0;32.71283669172932
leozitorocha1;22062000.0;2337800.0;35925.0;195501.0;42.63231765306122
letskwoowk;3861900.0;375241.0;5153.0;63011.0;37.48827294117647
lewiscapaldi;50900000.0;5236500.0;42574.0;231200.0;30.3906723943662
lexbra;6953100.0;325755.0;1022.0;18540.0;32.76765259259259
lexibrookerivera;43000000.0;6397000.0;44344.0;379400.0;54.36690823529412
lexihensler;52483100.0;7916200.0;17467.0;470733.0;39.84495744680851
liam_cast.oficial;14912300.0;1929400.0;3579.0;115347.0;25.634414520547946
liamcarps;7002400.0;643600.0;5762.0;31932.0;62.297681705426356
libardoisaza;27600000.0;3305700.0;22452.0;164600.0;18.12818857142857
lilhuhofficial;95091800.0;15158500.0;126602.0;778093.0;28.327698509933775
lilireinhart;1852200.0;268700.0;1219.0;6932.0;40.73338420289855
lilnasx;68190200.0;13266600.0;70869.0;583499.0;64.634285
lilyxgarcia;5562400.0;1243300.0;24689.0;57227.0;9.40105268292683
linatejeiro8;915900.0;24119.0;229.0;334.0;27.7032926
lionfieldmusic;27811800.0;2090337.0;12157.0;163008.0;52.14293203592814
lisa_luchetta;800000.0;150100.0;735.0;6994.0;18.743339504950495
lisef.alfio;31656300.0;1787400.0;5184.0;106985.0;346.3336806231743
livvyloveasmr;22812200.0;2151100.0;7749.0;271365.0;12.503892947658402
lizzza;24200000.0;3452600.0;10161.0;133600.0;43.85796454545454
logfive;4982100.0;735300.0;3665.0;28995.0;48.0983625
londokampung.official;913100.0;35341.0;287.0;1305.0;18.963665098039215
lordtrunks;1462200.0;256685.0;1345.0;21598.0;51.48936509259259
lorrayneoliveiraofc;1877800.0;151346.0;2070.0;7312.0;15.865047894736842
los_chicaneros;46000000.0;5749500.0;44794.0;358298.0;39.750552142857146
los_escachaitos;110229200.0;6637000.0;79731.0;889680.0;72.22170777777778
losariasbrothers;54725400.0;6334400.0;16190.0;471400.0;30.126592744479495
ltripping;70324.0;7500.0;108.0;908.0;32.300273469387754
luis_sal;4981500.0;738400.0;2511.0;41596.0;15.968538403361345
luismariz;3908600.0;780000.0;7577.0;37986.0;49.927695
lukas.urkijo;59200000.0;7196800.0;85212.0;520800.0;61.44379898734177
luvadepedreiro;21716600.0;2420600.0;25114.0;116354.0;17.251920952380953
lyodrabeneran;23336600.0;419535.0;1427.0;10965.0;20.389326153846152
mackenzieziegler;3259500.0;462800.0;1451.0;12023.0;77.30877113207548
madelineargy;23600000.0;1264700.0;1777.0;26052.0;33.394621546391754
mafia_x_villafuerte;5013.0;93.0;4.0;7.0;16.091903098591548
maiaknight;4332900.0;592797.0;1656.0;5135.0;48.47680423076923
makeup_rhk;46412800.0;5011300.0;7621.0;728682.0;51.60379291666667
maluborgesm;2432300.0;349800.0;6077.0;6976.0;53.53957306451613
mamalindy71;29506.0;1983.0;36.0;75.0;12.757116802721088
